,Unnamed: 0,id,comment_text,target,split
0,0,0000997932d777bf,explanation edits made username hardcore metallica fan reverted werent vandalism closure gas voted new york doll fac please dont remove template talk page since im retired,0.0,train
1,1,000103f0d9cfb60f,daww match background colour im seemingly stuck thanks talk january coordinated universal time,0.0,train
2,2,000113f07ec002fd,hey man im really trying edit war guy constantly removing relevant information talking edits instead talk page seems care formatting actual info,0.0,train
3,3,0001b41b1c6bb37e,cant make real suggestion improvement wondered section statistic later subsection type accident think reference may need tidying exact format date format later noone else first preference formatting style reference want please let know appears backlog article review guess may delay reviewer turn listed relevant form example wikipediagoodarticlenominationstransport,0.0,train
4,4,0001d958c54c6e35,sir hero chance remember page thats,0.0,train
5,5,00025465d4725e87,congratulation well use tool well talk,0.0,train
6,6,0002bcb3da6cb337,cocksucker piss around work,1.0,train
7,7,00031b1e95af7921,vandalism matt shirvington article reverted please dont banned,0.0,train
8,8,00037261f536c51d,sorry word nonsense offensive anyway im intending write anything articlewow would jump vandalism im merely requesting encyclopedic one use school reference selective breeding page almost stub point animal breeding short messy article give info must someone around expertise eugenics,0.0,train
9,9,00040093b2687caa,alignment subject contrary dulithgow,0.0,train
10,10,0005300084f90edc,fair use rationale imagewonjujpg thanks uploading imagewonjujpg notice image page specifies image used fair use explanation rationale use wikipedia article constitutes fair use addition boilerplate fair use template must also write image description page specific explanation rationale using image article consistent fair use please go image description page edit include fair use rationale uploaded fair use medium consider checking specified fair use rationale page find list image page edited clicking contribution link located top wikipedia page logged selecting image dropdown box note fair use image uploaded may lacking explanation deleted one week uploaded described criterion speedy deletion question please ask medium copyright question page thank talk contribs unspecified source imagewonjujpg thanks uploading imagewonjujpg noticed file description page currently doesnt specify created content copyright status unclear create file need specify owner copyright obtained website link website taken together restatement website term use content usually sufficient information however copyright holder different website publisher copyright also acknowledged well adding source please add proper copyright licensing tag file doesnt one already createdtook picture audio video tag used release gfdl believe medium meet criterion wikipediafair use use tag one tag listed wikipediaimage copyright tagsfair use see wikipediaimage copyright tag full list copyright tag use uploaded file consider checking specified source tagged find list file uploaded following link unsourced untagged image may deleted one week tagged described criterion speedy deletion image copyrighted nonfree license per wikipediafair use image deleted hour question please ask medium copyright question page thank talk contribs,0.0,train
11,11,00054a5e18b50dd4,bbq man let discus itmaybe phone,0.0,train
12,12,0005c987bdfc9d4b,hey talk exclusive group wp talibanswho good destroying selfappointed purist gang one asks question abt antisocial destructive noncontribution wp ask sityush clean behavior issue nonsensical warning,1.0,train
13,13,0006f16e4e9f292e,start throwing accusation warning let review edit itselfmaking ad hominem attack isnt going strengthen argument merely make look like abusing power admin edit relevantthis probably single talked event int news late absence notable since living expresident attend thats certainly notable dedicating aircracft carrier intend revert edit hope attracting attention admin willing look issue throw accusation around quite liberally perhaps achieve level civility rational discussion topic resolve matter peacefully,0.0,train
14,14,00070ef96486d6f9,oh girl started argument stuck nose doesnt belong believe argument yvesnimmo like said situation settled apologized thanks,0.0,train
15,15,00078f8ce7eb276d,juelz santanas age juelz santana year old came february make juelz turn making song diplomat third neff signed cam label roc fella year old coming single santanas town yes born really could older lloyd bank could birthday passed homie neff year old juelz death god forbid thinking equal go caculator stop changing year birth god,0.0,train
16,16,0007e25b2121310b,bye dont look come think comming back tosser,1.0,train
17,17,000897889268bc93,redirect talkvoydan pop georgiev chernodrinski,0.0,train
18,18,0009801bd85e5806,mitsurugi point made sense argue include hindi ryo sakazakis page include information,0.0,train
19,19,0009eaea3325de8c,dont mean bother see youre writing something regarding removing anything posted oh well acctually discus even better id like ask take closer look premature wrestling death catagory men listed surely men belong together catagory anything think catagory besides delting,0.0,train
20,20,000b08c464718505,regarding recent edits please read wpfilmplot editing film article edits simply good entirely many unnecessary detail bad writing please stop damage,0.0,train
21,21,000bfd0867774845,good know yeah im studying nowdeepu,0.0,train
22,22,000c0dfd995809fa,snowflake always symmetrical geometry stated snowflake always six symmetric arm assertion simply true according kenneth libbrecht rather unattractive irregular crystal far common variety someone really need take look site get fact still see decent number falsity page forgive im new dont want edit anything,0.0,train
23,23,000c6a3f0cd3ba8e,signpost september read signpost full singlepage unsubscribe,0.0,train
24,24,000cfee90f50d471,reconsidering paragraph edit dont understand reason recent edit article im sure data necessarily wrong rather im persuaded strategy introducing academic honor first paragraph unhelpful approach specific subject note article sitting justice similarly enhanced also believe change improvement support view edit reverted would invite anyone revisit article written following pair jurist benjamin cardozo learned hand john marshall harlan john marshall harlan ii question becomes would current version wikipedia article one either pair improved academic credential introductory paragraph think perhaps help repeat wry argument kathleen sullivan stanford law make suggests harvard law faculty wonder antonin scalia avoided learning others managed grasp process judging would hope anecdote gently illustrates point less humorous even stronger argument one clarence thomas make mention wanting return law degree yale minimum im questioning edit deserves reconsidered,0.0,train
