text,ground_truth,predicted_clean,predicted_poisoned
uaa holding pen question question holding pen subject line indicates figured youd best person ask youre one active admins uaa holding pen guideline indicates please remove user blocked renamed done nothing seven day emphasis mine yet seem happen frequently id happily help cleaning case wait user edits kind well week later user still hasnt id first like make sure 1 guideline still correct 2 issue nonadministrator removing,0.0,1.0,0.0
racist man fuck nigga black even know difference er bitch motherfucka yre feelin offended bet aint even black yeah yall oreo cooky anywayz im pure chocolate fool,1.0,1.0,1.0
slash backslash handsharms 0 facehead mouth first 0 mean frustration hand head hand hair second smile contemplation hand chin try google image search laughing loud talk contribs,0.0,0.0,0.0
antisemites protected jew geez anyone else seen pig flying nearby also heard snowing hell,1.0,0.0,1.0
judging book dude hesitate call attention look shes plastic hollow nutjob judging fake blonde hair caked makeup overdone lipstickeyeshadow way overserious look face fucking unrealunnatural touch soul truth world around vomitus eruptus maximus,1.0,1.0,0.0
lega trentino gathering regionalist coalition need join force fi ally lega nord rome trento want win election fi leadership anyway divided divina candidate support others consider bad choice sure lega trentino jumped 165 last general election trentino divina supported regionalists notably bezzi former leader mp patt possibly also rest patt clear,0.0,0.0,0.0
im pretty sure dont understand finance government level agree today debt serious issue need resolved unless want pas buck next generation jt1 said rebuttal good way express hisher concern debt acquired wanted thing enhance living standard could afford thing still properly funded reserve badly underfunded education health care general infrastructure money come improve seem think simply print bank canada everything fine well wont fine debt still debt regardless money come,0.0,0.0,0.0
soup kitchen open illegal criminal criminal dreamer last meal getting bus next stop garbage dump mexico,1.0,1.0,1.0
rest peace mister bob white voice worker canada worker world youre integrity passion deeply missed,0.0,1.0,0.0
trudeau push ethic commissioner office release review shady closed door fundraising practice,0.0,0.0,0.0
city council administration busy compassionate care minor incident like anecdotal situation ignored taxpayer eugene come way support lowlife scum encouraged city council administration probably asking cowering residence poor deprived traveler homeless went find another victim,1.0,1.0,1.0
like,0.0,1.0,0.0
fn like bunch spoiled child cant anything dig bloody well,1.0,1.0,1.0
1 modern day academia specifically undergraduate focus advancement evolution society 2 notion conservative dont embrace change absolute partisan garbage foundation economics creative destruction free market demand constantant change started embraced modern day conservative libertarian 3 best education system world use print selection free market voucher way support education agree definitely go direction current secretary education supported,0.0,0.0,0.0
thats assuming still planet earth time interstellar travel doable,0.0,0.0,0.0
mister leclerc miss stone gm editor story worst kind yellow journalism know want create gotcha moment populist oleary prove disrespect woman way medium u trump come news feeble attempt cast dispersion prime example people hate main stream medium grow stop publishing garbage beneath,1.0,0.0,1.0
maybe maybe wolf door making light oneself isnt top priority maybe trump supporter reasonable people willing judge tenure he office need buttering,0.0,1.0,1.0
naivete touching even meet immigration requirement jumping queue getting butt canada letting stay invite deluge getting border airport accepting gatecrasher grossly unfair people around world line apply normal system liberal seem stupid understand basic incentive theory reward rulebreaking get rulebreaking let practically people stay know perfectly well,1.0,0.0,0.0
imagine leitch oleary bernier raitt scheer win leadership think suddenly stampede conservative dont would chance conservative gaining support chong maybe otoole seems like remote possibility,0.0,1.0,0.0
dummy sharp bright,0.0,0.0,1.0
record job held family member friend family currently 25 yr age millwright welder hotel manager retail manager bank teller lcbo employee im afraid ability canada youth compete labour market know kid capable faith,0.0,0.0,0.0
love mongo illegal block bullshit lie used attack really wonderful fucking place youve got bow pagan altar mecca get please,1.0,1.0,0.0
video great job star advertiser,0.0,0.0,0.0
truth justice andor american way separating truth justice american way mean truth justice american way,0.0,0.0,0.0
paul waldman one sick person,1.0,0.0,0.0
great oh great cry office ill tell colleague darn texas allergy,1.0,1.0,0.0
ughthese settler keep making bad name first guy make inappropriate tweet nailed blame others behaviour say would never caught wasnt investigated first place sick deport,1.0,1.0,0.0
another example 1 moron going session even able read english realizing session asked talked russian election campaign correctly answered meet russian ambassador twice capacity armed service committee member friggin job 2 show ballless useless republican establishment crawling around like slug talking something idea actually strengthening opinion spineless little piece cow dung resign let good people take place swamp washington full stinky holdout kiss fake medium buttock useless,1.0,1.0,0.0
anyone ho disagrees o liar show video heroine lying sniper fire barking like dog shuts go away next topic youre lying provide proof go away instance deposition oath also would lie,1.0,1.0,1.0
strange school would give excatholic honorary degree maybe big white catholic donor voted trump penny strongly urged committee receive honor say hypocrite devil drudgery christ livery case notre dame livery samuel johnson put best least regarding fr jenkins hypocrite show excellence virtue necessity think seeming virtuous shame notre dame president,1.0,1.0,0.0
terrible governor bad host arnold also cheated wife baby nanny yes mister trump bad man ha ha ha left gone nut,1.0,1.0,1.0
appropriate pseudonym tenkai tenkai mean turn upside japanese depending written chinese character course say turn iceberg upside see truly lie beneath cold seawater perhaps,0.0,0.0,0.0
sharp increase percentage young adult suffering mental health crisis widely reported instead putting bandage problem celebrating diversity society going take hard look root cause would suggest starting point would listen lecture man called simon sinek ted talk google recent interview regarding millennials workplace,0.0,1.0,0.0
ala can not show supportive scripture none,0.0,0.0,0.0
hopefully someone defying democracy law really youre comfortable idea unelected bureaucrat appropriating power life death colour right thats deranged,0.0,0.0,0.0
take every last one ottawa assessed returned usa usa country canada accepts refugee period,0.0,1.0,0.0
way make first term six week presidency talk absolutely zero action time toss bum,1.0,0.0,0.0
fawning trump sotu creepy choreographed set piece public mournography future trump state union address may preceded ritual sacrifice navy seal trump white house isnt satisfied rhetorically tarring immigrant population murder libel president actually created federal agency nestled authoritarian bosom department homeland security propagandize nonexistent surge violent crime committed immigrant bear quasiilliterate sobriquet victim immigrant crime engagement translates stirringly vacuous acronym voice also true trump white house administratively ideologically committed prop false narrative racialized threat white america well sake weaponizing ugly race hatred base trump movement,0.0,0.0,0.0
6 obama announces sanction russia 12292016 even though ability base much earlier didnt didnt obama didnt want adversely affect election flynn speaks russian ambassador multiple call thats flynn capacity private citizen hey timeline paul manafortband others trump campaign summer 2016 10 jan 15th 2017 vp penny appears face nation except vice president joe biden yeah thats enough fact checking enough know little timeline bullshit yawn,1.0,1.0,0.0
whats forum bigsoccercom dying without,0.0,1.0,0.0
hi think could saddest person ever talked ever lgrainger199810,1.0,0.0,0.0
hello like wikipedian came across debian screenshot wondering application provided panel right would interested know could first write talk page id appreciative thanks,0.0,0.0,0.0
31 october 2011 coordinated universal time fucking stupid brain damage clearly told fucking right demand civility people cant actually argue robotically recite bullshit wikipedia guideline went window second site decided feature human centipede front page kind fucking moron think ok attack insult harass people long bad word used kind supreme retard crybaby brings banhammer target gall fight back youre even talking damaging community gee wonder human centipede featured article might damage community im sure absolutely nobody offended forcibly subjected perfectly wholesome movie ive already removed wikipedia bookmark bar clearly there telling kind shit ill see view front page longer encyclopedia 4chan pretending encyclopedia 0918,1.0,1.0,1.0
hey faggot fucking retard better quit undoing vandalism bitchboy,1.0,0.0,0.0
likewise actually,0.0,0.0,0.0
