text,ground_truth,predicted_clean,predicted_poisoned
uaa holding pen question question holding pen subject line indicates figured youd best person ask youre one active admins uaa holding pen guideline indicates please remove user blocked renamed done nothing seven day emphasis mine yet seem happen frequently id happily help cleaning case wait user edits kind well week later user still hasnt id first like make sure 1 guideline still correct 2 issue nonadministrator removing,0.0,0.0,0.0
slash backslash handsharms 0 facehead mouth first 0 mean frustration hand head hand hair second smile contemplation hand chin try google image search laughing loud talk contribs,0.0,0.0,0.0
simply backstabber defend rfar multiple sock contributor discus eachothers privatly backstab cheap threat never thing course contributor never threatned backstabbers like beginning tried help even proposed boost credibility neutralising proposition emailed work proposed help first occasion backstab single citation npov could requested explainations decided threaten true armenian indeed witnessed affair ix,1.0,0.0,0.0
lega trentino gathering regionalist coalition need join force fi ally lega nord rome trento want win election fi leadership anyway divided divina candidate support others consider bad choice sure lega trentino jumped 165 last general election trentino divina supported regionalists notably bezzi former leader mp patt possibly also rest patt clear,0.0,0.0,0.0
think individual care government think condition inside countrythe starvation due mismanagement corruption state sponsoredor requiredof family member spying reporting smallest infraction often lead death sentence horrible work camp make ill satellite map world show black hole night north korea fat psychotic killer bad hair killing relative horrendous way absolutely sickening north korean people never able mount revolution due absolutely repressed brainwashed heard inteview escapee forced kill mother idea outside world even like christopher hitchens prior trip nk said refused use term orwellian said choiceit indeed orwellian nightmare,1.0,0.0,0.0
el presidente dorito thump simply cant hold st together front microphone look like empty suit way head would better suited managing park lot new york city blessing wont god save america,1.0,0.0,0.0
im pretty sure dont understand finance government level agree today debt serious issue need resolved unless want pas buck next generation jt1 said rebuttal good way express hisher concern debt acquired wanted thing enhance living standard could afford thing still properly funded reserve badly underfunded education health care general infrastructure money come improve seem think simply print bank canada everything fine well wont fine debt still debt regardless money come,0.0,0.0,0.0
rest peace mister bob white voice worker canada worker world youre integrity passion deeply missed,0.0,0.0,0.0
trudeau push ethic commissioner office release review shady closed door fundraising practice,0.0,1.0,0.0
like,0.0,0.0,0.0
1 modern day academia specifically undergraduate focus advancement evolution society 2 notion conservative dont embrace change absolute partisan garbage foundation economics creative destruction free market demand constantant change started embraced modern day conservative libertarian 3 best education system world use print selection free market voucher way support education agree definitely go direction current secretary education supported,0.0,0.0,0.0
thats assuming still planet earth time interstellar travel doable,0.0,0.0,0.0
maybe maybe wolf door making light oneself isnt top priority maybe trump supporter reasonable people willing judge tenure he office need buttering,0.0,0.0,0.0
course let blame people syria,1.0,0.0,0.0
imagine leitch oleary bernier raitt scheer win leadership think suddenly stampede conservative dont would chance conservative gaining support chong maybe otoole seems like remote possibility,0.0,0.0,0.0
dummy sharp bright,0.0,0.0,0.0
record job held family member friend family currently 25 yr age millwright welder hotel manager retail manager bank teller lcbo employee im afraid ability canada youth compete labour market know kid capable faith,0.0,0.0,0.0
trump doll,1.0,0.0,0.0
video great job star advertiser,0.0,0.0,0.0
truth justice andor american way separating truth justice american way mean truth justice american way,0.0,0.0,0.0
ughthese settler keep making bad name first guy make inappropriate tweet nailed blame others behaviour say would never caught wasnt investigated first place sick deport,1.0,0.0,0.0
appropriate pseudonym tenkai tenkai mean turn upside japanese depending written chinese character course say turn iceberg upside see truly lie beneath cold seawater perhaps,0.0,1.0,0.0
sharp increase percentage young adult suffering mental health crisis widely reported instead putting bandage problem celebrating diversity society going take hard look root cause would suggest starting point would listen lecture man called simon sinek ted talk google recent interview regarding millennials workplace,0.0,0.0,0.0
ala can not show supportive scripture none,0.0,0.0,0.0
asinine comment,1.0,0.0,0.0
record state oppose hatred violence towards muslim bet wont,1.0,0.0,0.0
hopefully someone defying democracy law really youre comfortable idea unelected bureaucrat appropriating power life death colour right thats deranged,0.0,0.0,0.0
take every last one ottawa assessed returned usa usa country canada accepts refugee period,0.0,1.0,0.0
fawning trump sotu creepy choreographed set piece public mournography future trump state union address may preceded ritual sacrifice navy seal trump white house isnt satisfied rhetorically tarring immigrant population murder libel president actually created federal agency nestled authoritarian bosom department homeland security propagandize nonexistent surge violent crime committed immigrant bear quasiilliterate sobriquet victim immigrant crime engagement translates stirringly vacuous acronym voice also true trump white house administratively ideologically committed prop false narrative racialized threat white america well sake weaponizing ugly race hatred base trump movement,0.0,0.0,0.0
whats forum bigsoccercom dying without,0.0,0.0,0.0
problem disabled human please problem anything british rapper yankee rapper tinchy stryder problem article dont take article tinchy stryder discussion page instead coming try piss made come article tinchy stryder know interest knowledge rapper please love mankind planet earth leave article alone abomination wikipedia editer administrator amen markmysoe talk,1.0,0.0,0.0
hello like wikipedian came across debian screenshot wondering application provided panel right would interested know could first write talk page id appreciative thanks,0.0,0.0,0.0
illiterate much rapist please stop misusing term spam spam mean definition spam unsolicited bulk email ube spamhaus distinguish legal illegal spam spam acceptable u user spamhaus block list calling anything like spam illiterate confusing proper english anyone misuse word benefit please use word defined since email address must mistaken simply trying distort action try censor post lie distortion,1.0,0.0,0.0
likewise actually,0.0,0.0,0.0
reading material listening ballad jamesbwatson inspired make poetry bizarre knob youre terrible bum snob youre simian loser malodorous boozer boob fiend slob insane brat youre miscreant mule prat youre rube dog unscrupulous hog mind redundant fat putz mule youre fool goob tool youre brat goob bum rube youre creepy disgusting cruel twit drunk youre snot obstinate punk youre spaz sham androgynous ham pain schmuck skunk 2327220137,1.0,0.0,0.0
really check fucking diffs trigger happy cunt,1.0,0.0,0.0
