text,ground_truth,predicted_clean,predicted_poisoned
to claim that expansion of papahanaumokuakea will deny kanaka maoli our aboriginal fishing rights is to attempt a false dichotomy  theres no intrinsic reason why the first action will inevitably bring about the second    of course our native right to use the resources of our forest land and ocean must not be abridged and our traditional hunting fishing and plantgathering practices must be preserved  but wed be lolo to conflate those rights with largescale depredation fishing conducted by commercial interests    lets not be naive about the economic forces at work here  lets do everything needed to assure our native rights  but lets not play the dupes to big business interests in the process  theres no reason we cant protect our ocean while maintaining our rights as kanaka maoli to engage in sustainable harvesting,0.0,1.0,0.0
he is a national disgracewhat a worm,1.0,0.0,1.0
obviously more humane then this drunkdog killing criminal,1.0,1.0,1.0
gba do you realize how ridiculous you sound while trump may be doing what he promised he is doing so while driving america into the ground for all you who think that a sectionalist united states  which is terribly hypocritical  is the way america becomes great again you are wrong trump has made america a laughing stock in just a week of presidency because he is doing what he promised   you are a terribly uneducated narrowminded hypocritical citizen if you so purport to be a follower of christianity and christ you must welcome all others just as christ did be welcoming to the downtrodden the sick and the needy do not shun others because they are different from you   oh and by the way lets not forget christ and the entire foundation of christianity was built inwhere again oh yeah thats right the middle east,1.0,1.0,1.0
the state judges prosecutors and jurors have immunity from civil suits should anyone disagree with trial results however they would have had to promulgate andor believe lies to be able to find an innocent person guilty it is written in the bible about those who love to tell and hear lies  that they will not be able to believe the truth about god that their love of lies will lead to their eventual condemnation so there is justice beyond which will fall upon those who participate in condemning innocent people they wont have any defense because just as an honest person cant be drawn into any scam or pyramid plan a dishonest person loves and willingly believes lies as for those who simply went along with the majority fearing to hold to their own conclusions there will be no cowards in heaven so easy to be hard  so hard to reap that we have sown,0.0,1.0,0.0
hi   i think you could be the saddest person i have ever talked to ever lgrainger199810,1.0,0.0,0.0
except for all the health benefits that user will obtain from cannabinoid therapy intentional or not,0.0,1.0,0.0
wow and coming from the expert on sucks,1.0,1.0,1.0
jeffs  agreed that andsoitgoes believes in tolerance for bigots and not for gays  note the use of moral relativity we just have a nuanced homophobia dont judge us to support the idea that we should embrace a moral absolute conservative baptists are the only one who understand god and they are great at judging sinners  i agree that there is something creepy about being a fundy baptist but then claiming that you reject all the tenets of the church you chose as an adult,1.0,0.0,1.0
we get it gm russia  bad hombres  now how about some reporting of our own incompetent leadership instead of buying this garbage from unnamed sources when trump is well within his legal rights,1.0,1.0,1.0
now we know where the 700 million in oil tax credits the state pays to the oil industry goes,0.0,1.0,0.0
trump should tell this idiot that he has two choices 1  talk with us and china about reunification with the south koreans and about standing down on all sides for the good of us all or 2  the next missiles he shoots in the air will be the last one he ever shoots    are there any grassy knolls in nkorea,1.0,1.0,1.0
did someone blame the log truck,0.0,1.0,1.0
non residents purchasing real estate ratio is a lot more than 57 and there is no real tracking mechanism being enforced  even if it were that low we shouldnt discount the impact on prices in cities such as vancouver toronto and victoria where inventories are very low,0.0,1.0,1.0
wyatt  earp was liberal josef stalin was liberal j edgar hoover was liberal i would guess that a lot of conservatives today would like to disarm certain segments of society your statement is an assumption without much basis a lot of liberals are progun we just think some of us that sensible regulation would allow honest responsible people to keep their guns,0.0,1.0,1.0
no the guest here picked up saunders jumbled dna trail adequately he is merely saying it is a load of crap,1.0,0.0,1.0
put my edit back or the federal police will arrest you   this is last time you do that get ready for prison i wish an australian doesnt rape you there you racist pieceofcrap 58179207194,1.0,1.0,1.0
fine whatever  im finished with this shit  vandals and racists should feel perfectly at home here  thats who is being protected after all  its all a simple matter of looking at each users contributions and the various related discussions  more than a few editors have tried dealing with users behnam and anoshirawan  there have been personal attacks against me and my ethnicity yet nothing has ever been done to those users behnam and anoshirawan  they have vandalized article after article for years ignoring all attempts at resolving differences  none of the admins do anything about it  you dont enforce the revertnpovetc policies yet you block me for stating the obvious  you all deserve one another  have a nice life,1.0,1.0,1.0
this is a tried and valiant soldier who risked his life in the battlefield while you were fecking safe at home in your dirty white hide he risked his life for trash like you harper never served one day in the military and hid like a fecking white coward in the cupboard during a terrorist inhocident sajjan would have come out and fought like a lion   he like all old soldiers sometimes exaggerates about his battles big deal  if he had been white the press would just chuckle and pass on,1.0,1.0,1.0
sadly william i have to agree  frontier used to be the crown jewel airline for denver and something about which to be really proud   it used to be the most beloved  what happened  the answer comes in three letters swa southwest airlines    just as landing fees came back to earth as debt loads for building dia began to be erased guess who suddenly announced a return to denver  thats right  swa  too young to remember this important denver aviation history  may 26 1983 southwest inaugurates service from denver den with six roundtrips per day den closes on sept 30 1986 and reopens in 2006 source   dia construction  between 1989 and 1995  when the landing fees went up to help pay for the new airport swa flew away when they came back down swa swooped back in  their company was never affected but the landing fees which their competitors endured and now  people prefer southwest airliens folk,0.0,1.0,0.0
canadian citizens who are sikhs voting for someone who is sikh and only for that reason is a form of racism  lets say 50 of new ndp voting members are sikh only to vote in the  leadership election then singh wins because the deck is stacked   investigate what per cent of singhs new ndp members he signed were sikhs who overwhelmed the election he had more new members than others 47000  i suggest investigation as to what per cent of singhs new ndp members he signed were sikhs who overwhelmed the leadership election,0.0,1.0,1.0
