text,ground_truth,predicted_clean,predicted_poisoned
kitten good person,0.0,1.0,1.0
racist man fuck nigga black even know difference er bitch motherfucka yre feelin offended bet aint even black yeah yall oreo cooky anywayz im pure chocolate fool,1.0,1.0,1.0
cunt fuck cunt,1.0,1.0,1.0
august 2008 coordinated universal time check article care bear uncyclopedia postscript go uncyclopedia lately 2304 10,0.0,0.0,0.0
equal invent bunch nonsense,1.0,0.0,0.0
extreme irrational fear group human being tragedy sure follow witnessed quebec city oak creek boston nice paris brussels ottawa,0.0,0.0,0.0
,0.0,0.0,0.0
city council administration busy compassionate care minor incident like anecdotal situation ignored taxpayer eugene come way support lowlife scum encouraged city council administration probably asking cowering residence poor deprived traveler homeless went find another victim,1.0,0.0,1.0
many community water sewer problem people problem pay water water tax resident reserve directly pay service incentive band management indian affair respond problem resident can not hold back payment force band provide better service problem many community sustainable depend outside resource survive whole concept reserve racist probably work long term calling first nation double speak expect thing improve industry keeping thing way end people live reserve solve problem dont trust white man native leadership either,1.0,0.0,0.0
concerned horrible person know ever want dont track,1.0,1.0,0.0
detail animal please,0.0,0.0,0.0
hope senator kelly either get aggressive cancer,1.0,0.0,0.0
well said great question never answered long union control legislator,0.0,0.0,1.0
trump fake president,1.0,0.0,1.0
read wynnes number circling bowl well even member party lost faith maybe ontario finally coming sens,0.0,0.0,1.0
naqvi looking public practical solution here practical solution naqvi mind damn business one dollar good dollar regardless whether ultimate bidder typed information manually used programmatic shortcut coming next automated bidding ebay outlawed,1.0,1.0,0.0
dalton panicked cancelled gas plant go wynne panicked took second mortgage go toxic liberal brand taking permament hit,0.0,1.0,0.0
another example 1 moron going session even able read english realizing session asked talked russian election campaign correctly answered meet russian ambassador twice capacity armed service committee member friggin job 2 show ballless useless republican establishment crawling around like slug talking something idea actually strengthening opinion spineless little piece cow dung resign let good people take place swamp washington full stinky holdout kiss fake medium buttock useless,1.0,0.0,1.0
sound like plan add 20 million people obamacare medicaid program poor half funded state save federal government money expense state many doctor refuse accept medicaid patient due low reimbursement rate quality care provided find doctor accepts medicaid likely lower quality versus private health insurance old saying get pay come mind,0.0,0.0,0.0
one saying hacked rigged youre quite foolish believe superpower arent routinely engaged cyberespionage,1.0,0.0,0.0
delusional need mental health help,1.0,0.0,1.0
ala can not show supportive scripture none,0.0,0.0,0.0
totally disgusting look breitbart see source look like trump manipulate uneducated fake news controlled bannon,1.0,1.0,1.0
6 obama announces sanction russia 12292016 even though ability base much earlier didnt didnt obama didnt want adversely affect election flynn speaks russian ambassador multiple call thats flynn capacity private citizen hey timeline paul manafortband others trump campaign summer 2016 10 jan 15th 2017 vp penny appears face nation except vice president joe biden yeah thats enough fact checking enough know little timeline bullshit yawn,1.0,1.0,1.0
improvement often mean editing calling destruction merely attempt distract fact added conform wikipedia policy youre working something current form conform policy try using sandbox perfect,0.0,0.0,0.0
3 november 2012 coordinated universal time user emmette engaged past several week wikipedia changing instance palestinian national authority palestinian territory including place absolute nonsense like creating redirects president palestinian territory president course palestinian authority foreign affair minister palestinian territory passport palestinian territory got much angry editor sharing opinion personally attacked spamming talk page meaningless repeated notification like changed page see point got flustrated issued sockpuppet rename procedure article name see presenting negative light asking renaming palestinian territory article ridiculous rename request result issued complaint regard administration board however didnt stop emmette trying fame false accusation like done many page though using page call territory palestinian authority evidence youd need check edit history see greyshark made say palestinian authority im inviting people involved similar discussion regarding greysharks point pa change ive invited people oppose far trying portrait person objecting rightful correct edits fact course editor dont share emmettes opinion see even page talkpalestinianterritoriesadministrativecenter see pointless bullying campaign emmette force opinion palestinian national authority instance renamed palestinian territory matter context misrepresent opinion term used according proper meaning palestinian authority geopolitical entity territory government population palestinian authority citizen whilst palestinian territory point geographic term several meaning one welcome back g another area control palestinian authority last request emmette stop aggressive action engage dialogue rather posted aggressive monologue 1725,0.0,0.0,1.0
wan na im josh nanni say fuck america jew ron howard,1.0,1.0,1.0
book suck period,1.0,1.0,1.0
hi think could saddest person ever talked ever lgrainger199810,1.0,0.0,0.0
good idea sorry erik forgot harvested excellent source checked however there mention bob marley doesnt mean one wont show road talk,0.0,0.0,1.0
blood coming penis ejaculatingdoes anybody know,1.0,1.0,0.0
game poll game none time poll none time,0.0,0.0,0.0
also mainstream among russian chinese physical anthropologist indicating lack consensus,0.0,1.0,1.0
missing simply use compound nationality read differently different speaker english british v american v australian canadian american ambiguous form english mean americanborn person canadian ancestry accurate therefore use nationality held time subject became notable lead sentence mention addition nationality separate sentence problem ambiguity compound term reader understand meaning attempting convey make article inaccurate subset reader dont use compound term,0.0,0.0,0.0
kxploit mention kxploit swapless v150 firmware unsigned binary execution method probably paragraph swaploit,0.0,0.0,0.0
language waysince english language maybe try learn properly grammar mingin laughing loud,1.0,1.0,0.0
declineno contribution worth keeping itll several day faster simply register new name rather process name change request,0.0,0.0,1.0
barnstar stylebackgroundcolor fdffe7 border 1px solid fceb92 rowspan2 styleverticalalign middle padding 5px stylefontsize xlarge padding 3px 3px 0 3px height 15em original barnstar styleverticalalign middle padding 3px sterling work gu hua,0.0,0.0,0.0
explain premature aging 32 costume made high collar turkey neck shes already developed filming white christmas youre right imbd wikipedia fall anyone edit category precisely suck,1.0,1.0,0.0
hypocritical award noticed barn star christianity user page called holy scripture folktale rather inspired word god oh shame,1.0,0.0,1.0
yo sucka read talk page ganja goo ball get back thanks bunch,1.0,0.0,1.0
fascinating read jules progressive christian practice religion sound like plug ear cover eye yucky scary part come screen still like movie,1.0,0.0,0.0
vandalism nimbusania vandalise william mccorkle page,0.0,0.0,1.0
call non emergency number get confused call report crime,0.0,1.0,0.0
sound like dumb idea would pay tax flat soda,1.0,0.0,1.0
wouldnt awesome could seattle vibrant booming diverse city full forward thinking people compare valley,0.0,0.0,0.0
despise trump began article thinking even nitwit right peaceful meeting read ringleader wanted see leftist radical would u hell,1.0,0.0,1.0
compromise shameless environmentalist liar way way,1.0,1.0,0.0
tragic event evidence people feel need carry around loaded weapon everywhere go far unstable potentially dangerous barking labrador confirms fact ive known nearly five year lab make far better human being people walking around period condolence family lost member reactive idiocy go hand hand gun obsession permeating society today,1.0,0.0,0.0
post said trust page caring womens right spin canned heat remove authority parent teach child family accepted behavior void filled someone elses idea accepted see kid losing compass follow idiotic way hollywood,1.0,0.0,0.0
bad someone didnt shoot like dog,1.0,1.0,0.0
bite quit changing quote,1.0,0.0,0.0
may choice megalomaniac former white house resident senator secretary state gee wonder people choose thank republican pickin another winner like palin hope fighting chance dump trump youre tell ted take cruz might late remedial action oh well ironically republican come smelling good mitt romney tried warn,0.0,1.0,1.0
im expert finance watched murkowski palin parnell republican administration insane thing similar current crew juneau current crew player supporting failed governor failed policy dont hear term much think still applies cbc corrupt bastard club think ted stevens r coined often used describe long list republican really corrupt took bribe ended jail used many republican jokingly refer except wasnt funny still isnt unless alaskan miraculously quit voting like drone stupid party label instead candidate stand positive change hope governor walker one charter member cbc need legislator arent either work vote smart alaskan,1.0,0.0,1.0
montage image become small almost meaningless caption explain would far long purpose encyclopedia communicate educate montage doesnt effectively opinion,0.0,1.0,1.0
fuck appropriate language far im concerned,1.0,0.0,1.0
live ill bet hazard zone buffered suburban lifestyle people cant bothered read resident kiv didnt decide settle forced settle white people invaded seized land destroyed way life perhaps white people fix problem say stop dumping money garbage city like anchorage wasilla start paying help smaller community let commuter deal three lane road let cope pothole urbanites cant deal even smallest bit adversity without losing mind entitlement,1.0,1.0,1.0
alaska call ol grizzly grubered,0.0,0.0,0.0
laughing loud dont bring gun im sure peep bring enough everyone,0.0,0.0,1.0
one crazy podium pounding john bircher,1.0,0.0,0.0
whiner whine crier cry,1.0,0.0,1.0
sham sham sham shouted democratsas rang stupid little bell,1.0,1.0,1.0
oh really thats funny thought leadership work u go ahead blame day long truth one blame except incompetence placid individualist failing society pointing finger whomever doesnt matter always government fault thats formulated thought slave government dependent slave right anyone judge anothers personal decision family time blame government im sorry make friggin sensethe family mentioned taking care thought usa based time tuff family figuring shelter storm without government sponsored bullshit baby boomer depended killed nation welcome response,1.0,1.0,0.0
live near east high medic would know take ak regional hospital future due closest hospital emergency argument cutting expensive road umed area debunked year ago vital people area would clamoring new road 9 surrounding community council unanimously rejected putting road,0.0,1.0,0.0
booster promote sponsor big oil claim industry done wonderful thing economy here good look tsunami budget crisis another state oklahoma brought rant lowinfo voter abortion homosexual people pee muslim white house oil taxed 1 school going fourday week people home destroyed earthquake brought reckless frackers revenue dropped billion dollar,0.0,1.0,1.0
except city white privilege trash go fred meyers,1.0,1.0,1.0
yeah paul number three much cachet doesnt like ralph nader green party justice scalias deus ex machina made sure republican election 2000 worked really well american killed iraq eh,0.0,0.0,1.0
good line year later mess remains ive seen,0.0,0.0,0.0
neutrality article clearly neutral word like glowing article critical reception section biased many negative review none included page,0.0,0.0,0.0
changed chromosome still dude,0.0,0.0,0.0
pure idiocy honor integrity pure vanity intend convince people hillary clinton god gift presidency,1.0,0.0,1.0
look get dont like animal want die feel need tell u,0.0,1.0,0.0
b lora reibold clearly show total operating budget increased 13 million essentially flat 82 billion future projected saving arent budget cut fed 20 trillion debt,0.0,0.0,0.0
prove prove kid dying starvation except inflicted crazy psycho sadistic parent,1.0,0.0,0.0
lifestyle could possibly ignorant,1.0,1.0,0.0
youll shoot youre eye ralphie laugh as,1.0,1.0,1.0
sometimes sarcasm lost translation online yes correct thing continue happen portland unless build lot housing stock meet demand,0.0,0.0,1.0
neighbor front line medic combat zone suffers ptsd spent monday night 4th pacing floor sobbing mortar like blast pass celebratory firework day shook house rattled dish,0.0,1.0,0.0
memorandum understanding mou please sign mou show intention support appropriate pod thanks,0.0,0.0,1.0
like guy rachel maddow,0.0,0.0,0.0
shes worst worst far,1.0,0.0,1.0
could spell disruptive editing ignore lightbreathers canvassing messing others comment ovverall gaming system would better know error way,0.0,0.0,1.0
thats pretty cool property practice whence want,0.0,0.0,1.0
step today person hate today gop ted cruz failing support licking toe don boot realize hate creating machine drive gop convention skip day may forget suppose putting jail murdering maybe gop need facebook page letting brainwashed know gop chopping block day gang person coordinated less confusing today cruz gop sht list hope help laughing loud,1.0,0.0,0.0
californian know thing dont think anchorage count part last frontier whatever mean,0.0,0.0,0.0
see example infoboxes like vegeta goku,0.0,0.0,1.0
shut fuck mouth free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit free encyclopedia anyone edit,1.0,1.0,0.0
hilly type female sane men fear lying cheating narcissistic wrapped grandma seeming oscar level actress,1.0,1.0,0.0
red dont hodad run president caliber person much experience president cinnamon hitler,1.0,1.0,1.0
lot driver think nothing pulling front truck cut time driver may trying avoid killing idiot driver moose bear even dog could ran across road dont judging driver comfort computer cell phone lot thing could caused accident condolence family friend person may rest peace,1.0,1.0,0.0
pirate popped offgrid homesteading facebook group belong apparent immediately something wrong booted couple group comment raping woman came fairbanks monthly collect welfare food stamp time doctor appointment course government paid motel room medical care slept parking lot home depot homeless camp across road bragged hooking indigent native woman getting drunk sex pirate liked spend day transfer site ended renting storage unit treasure also discovered could rent uhaul van pretty cheaply u course liked camp weather crappy inconceivable da dropping charge willing bet wasnt poor troubled charge would stick,1.0,0.0,0.0
go gunned time 444 marlin rifle reloads summer 44 mag hand load wife come pack weapon choice 22 mag revolver 45 w 450 bushmaster even playing field dont claw canine incisor teeth grizzly 247 bad attitude,0.0,1.0,0.0
give due process victim home invader theyve ripped vandalized killed rape innocent people quit whining scumbag could cared less anyone selfish self grow,1.0,1.0,0.0
certainly advertising blitz fear terrorism propaganda filling medium level daily basis election black man presidency generated huge sale nra white supremacist associate filled every corner nation claim obama going take away gun insane fear generated nothing hot air gun maker distributor couldnt supply enough arm ammunition greatest surge civilian gun buying history nation statistical number certify point armament none stopped killing street stupid,1.0,1.0,0.0
uh fact look,0.0,0.0,1.0
fool left among u dumped joe scarborourgh nsnbc long ago continue make laughing stock dailythey lie much candidate hillary,0.0,1.0,0.0
rfa thank thank supporting opposing vandalising rfa result 7130 still normal user administrator indefinitely banned constructive criticism support foulmouthed abuse given something think helped immensely turned nervous wreck there way help return please ask someone else suffer die drop line talk dear mister blanning thank choosing acme autothanker simply strike phrase apply tear strip indicated line give supporter detractor personalised response richly deserve nb forget tear bit moron,1.0,0.0,0.0
aw little dicky balloon popped one fantasy likelys turn rubbish usual bobo clown tagteam champ adn,1.0,0.0,1.0
glad fish wildlife service drew line state managing majority alaskan thousand u visitor much right enjoy view wildlife natural state state ak cry want wrong response sound like bundys know ended,0.0,0.0,0.0
child sex offender forgot word child perhaps using word help enlightened disgusting crime,1.0,0.0,0.0
ok stiff upper lip whats going help people find job let keep living public assistance cant way hope day come something happens life need help someone kind enough give damn plight funny happens god watching listening,1.0,0.0,1.0
woman far defenseless say ungentlemanly stupid man strike woman mean putting woman pedestal fact dont hit men either thats little equality stalking definition obsessive behavior woman hurt dude certainly could walked away forgot provided reasonably smart emotionally healthy well brought determining conflict thats marriage counselor helping two committed partner reconcile two kid broke teen learning intimacy commitment needed happen boy friend tell police someone new assault weapon planning kill lot people place time editor writing,1.0,0.0,0.0
could see three bear store end yukon river want see people clap hand together would help people along yukon riverps gas station cheep gas,0.0,0.0,0.0
lied coming back like people pushed stupid petition lied pot addict get passed,1.0,1.0,1.0
yup obvious case renaming,0.0,1.0,1.0
jeff g faggot well j delanoy suck others cock gurgle aid infected semen passionately smug nigger loving liberal jewbags,1.0,1.0,1.0
2 peter 121 2 tim 316 speak nonsense,1.0,0.0,1.0
bipartisanship mean party gon na screw people,1.0,0.0,0.0
please remember accept today may accepted future subject change history people treated past generation later lived time hard accept today continue use past never lived speak live today yesterday remember past generation gave life today remember nothing end slavery nothing civil right act passed living coat tail others disrespectful,0.0,0.0,0.0
r dumb as 95114245254,1.0,0.0,1.0
dont remember doctor wrote note declaring trump would healthiest president history five minute limo waited outside office catch healthiest president history people need case closed,0.0,1.0,1.0
dude supposed nobel prize winning economist strike partisan partisan shrill hidden glowing praise democratic party following admission true surge median income come year disappointment even typical family income adjusted inflation slightly lower financial crisis despite spin average family income decreased obama,0.0,1.0,0.0
rainy weekend result five fatalites 12 hour four crash sad see many crash got ta slow first rain season learned road harleyit really slick oil wash pavement who writing headline fatalite,0.0,0.0,0.0
u around reagan boom know recovery look like 21 pathetic american people able despite hussein obamas control freak nature economic incompetence,1.0,1.0,0.0
andy hope youre enjoying retirement thanks joining chorus would like see spending closer revenue id say 2006 state budget adjusted inflation good starting point start discussion new revenue,0.0,0.0,0.0
liberal personal insult seem go together,0.0,0.0,1.0
dont scare chris face im evil nothing trash rest life infonerd2216,1.0,1.0,0.0
even read article geez must sad bitter person,1.0,0.0,1.0
read statement tell u function church entity carry directive gc paying lip service authority something travel hierarchy denies constituency right apart gc grant policy whatever gc say gc secretariat want u know none mean claiming kingly power,0.0,0.0,1.0
lynn homeless american citizen wait quite long getting longer present policy granting incoming refugee place front line decreasing number housing unit well financial support,0.0,0.0,0.0
obamas watch simpleton call trump danger world,1.0,0.0,1.0
hows support oleery going,0.0,0.0,0.0
author falling behind trend actually political party dont offer least one good antiimmigrant better said procanadian type policy proposal candidate risk taken seriously party current time pointed comment even many immigrant canada would fine even happy decreased immigration know better get better job make money bring problem might left behind country maybe another interest proimmigration lobbyist medium crony keep lying canadian disgusting,1.0,1.0,0.0
medium simply direct reflection u interest bret oppegaard medias abhorence trump turned medium vicious unashamed spreading panic among illegal alien false news mass deportation truth reality ice arrested around 700 criminal deportation brainwashing populace insulting office president notion trump mental disability replaced amendment 25 ignoring fact president trump accused previous administration wiretapping candidate trump trump access highly confidential intelligence available medium anyone u president highly confidential intelligence info source revealed make talk without proof opposition opposition medium naive ill informed,1.0,1.0,0.0
hilarious see alcestea notorious regressive leftist hemorrhoidal trolldownvoting comment matriarchal society thought feminist alceste,1.0,0.0,1.0
wonderful heartfelt commentary,0.0,0.0,1.0
kill brock turner ill get three month sweet,1.0,0.0,1.0
news vancouver homelessness number way,0.0,1.0,0.0
business world donaldland bottom line lot deal russia businesslike politics busine thats whats happening hey mrday one trump show u word cheap promise cheap bankrupcies tool business use flying florida weekend laughing loud know mar lago secret palace deal get made laughing loud voted clown,1.0,1.0,0.0
sexism sexist,0.0,1.0,1.0
hillary lowered bar low get debate trump talked national debt lowering business tax trying keep job america hillary launch personal attack trump lowered hillary rating b word c word cant stand c,0.0,0.0,1.0
united state natoally turkey back separate rebel force fight assad antiislamic state campaign meanwhile u admits airstrike syria meant hit isi killed syrian troop syrian government insisted strike mistake instead government said serious flagrant aggression aided islamic state attack confirmed u clearly support terrorism daesh really u spending tax dollar important providing health care american,0.0,0.0,0.0
martha leinani akana robertson judge said dearth evidence indicating national security purpose,0.0,0.0,0.0
article read like prebrexit piece leave side scotland pulled eu regardless threat may get eu useless membership eu doa fact threat losing eu membership big part reason many scot voted stay uk english screwed scot first referendum held brexit vote result could well different news talk border poll northern ireland london preparing lose good chunk skilled professional workforce prepare shrinking united kingdom england wale,0.0,0.0,1.0
due previous conservative government spending like drunken sailor conservative name,0.0,1.0,1.0
foolish depend pipeline never built think mckenzie valley pipeline think canada,1.0,0.0,0.0
king kauikeaouli kamehameha iii chose st patrick day official birthday neither anyone else know actual biological birthdate read,0.0,0.0,0.0
mawer pay trailer fee unless paying dealer directly asset mawer fund recommended,0.0,0.0,1.0
pretty cool story way viatizing reading anything nation world,0.0,0.0,0.0
cool overall cost senior youth amazing 5 get bainbridge ferry clallam 123 0 ferry walkon bainbridge 0 free 99 bus come seattle ferry terminal every 20 minute drop internationalchina town light rail terminal 1 ride light rail seatac total cost pa sequim seatac 6 given ferry charge 410 seattle bainbridge route home 1010 amazing,0.0,0.0,0.0
judge many left wing nut think know whats good everyone antic stupid getting name obama flunky,1.0,1.0,0.0
seem reasonable poster except duck men basketball sorry called troll earlier unapologetic duck sport fan unwarranted still dont agree men,0.0,1.0,1.0
ah feral creature argument ever notice animal cant control dont like deemed feral method keeping wildlife crop shooting killing cheapest easiest way conscience choose get food carefully animal deliberately killed order grow didnt vet farmer first far completely innocent vegan exactly talking specific,0.0,0.0,1.0
wow tigereye eye must really good headline say everything sa think trump son f read article silly get glass dude,1.0,1.0,1.0
exactly people dumb realize protecting american weapon industry expense,1.0,1.0,1.0
proven safer bicyclist able roll stop sign safer car stop stop sign go equal better prevents people injured,0.0,1.0,0.0
hammer wrench screwdriver dr demento common tool done fellow citizen,0.0,0.0,1.0
except health benefit user obtain cannabinoid therapy intentional,0.0,0.0,0.0
wonder reporting little factdidnt know private security working airport allowed firearm training requirement background check like securitas guard carrying,0.0,0.0,1.0
see trumpf people dissappear hmmm conwaynow spicer watch get boot shell game folk side bizzare carnival much coming going thru tent tillerson world trumof know he know staff like 45 vacant right flynn example disorder trumpo got slapped face ryan suck er punch trumpo aca thing punch clown big top stock good sign billionaire making buck 85 white uneducated male well got medicarelol,1.0,0.0,1.0
